state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
Tamil Nadu,Dharmapuri,Pennagaram(Uzhavar Sandhai ) APMC,Garlic,Average,Local,2025-12-28,15800.0,16000.0,15900.0
Tamil Nadu,Namakkal,Tiruchengode APMC,Garlic,Average,Local,2025-12-28,12000.0,14000.0,13000.0
Tamil Nadu,Salem,Ammapet(Uzhavar Sandhai ) APMC,Cauliflower,Ranchi,Local,2025-12-28,2500.0,3000.0,2750.0
Tamil Nadu,Salem,Edapadi (Uzhavar Sandhai ) APMC,Cauliflower,Ranchi,Local,2025-12-28,2000.0,3000.0,2500.0
Tamil Nadu,Krishnagiri,Krishnagiri(Uzhavar Sandhai ) APMC,Cauliflower,Ranchi,Local,2025-12-28,2500.0,3000.0,2750.0
Tamil Nadu,Nagapattinam,Sirkali(Uzhavar Sandhai ) APMC,Cauliflower,Ranchi,Local,2025-12-28,5000.0,5000.0,5000.0
Tamil Nadu,Madurai,Palanganatham(Uzhavar Sandhai ) APMC,Cauliflower,Ranchi,Local,2025-12-28,3000.0,4000.0,3500.0
Tamil Nadu,Ramanathapuram,Ramanathapuram(Uzhavar Sandhai ) APMC,Cauliflower,Ranchi,Local,2025-12-28,5500.0,6000.0,5750.0
Tamil Nadu,Tuticorin,Kovilpatti(Uzhavar Sandhai ) APMC,Cauliflower,Ranchi,Local,2025-12-28,4500.0,5000.0,4750.0
Tamil Nadu,Thirupur,Tiruppur (South) (Uzhavar Sandhai ) APMC,Cauliflower,Ranchi,Local,2025-12-28,3000.0,4000.0,3500.0
Tamil Nadu,Theni,Bodinayakanur(Uzhavar Sandhai ) APMC,Cauliflower,Ranchi,Local,2025-12-28,3300.0,3600.0,3450.0
Tamil Nadu,Krishnagiri,Denkanikottai(Uzhavar Sandhai ) APMC,Cauliflower,Ranchi,Local,2025-12-28,3000.0,3500.0,3250.0
Tamil Nadu,Thanjavur,Thanjavur(Uzhavar Sandhai ) APMC,Cauliflower,Ranchi,Local,2025-12-28,5000.0,5000.0,5000.0
Tamil Nadu,Salem,Attayampatti(Uzhavar Sandhai ) APMC,Cauliflower,Ranchi,Local,2025-12-28,2000.0,3000.0,2500.0
Tamil Nadu,Nagapattinam,Mayiladuthurai(Uzhavar Sandhai ) APMC,Cauliflower,Ranchi,Local,2025-12-28,5000.0,6000.0,5500.0
Tamil Nadu,Nagercoil (Kannyiakumari),Vadaseri APMC,Cauliflower,Ranchi,Local,2025-12-28,5500.0,6000.0,5750.0
Tamil Nadu,Vellore,Vellore APMC,Cauliflower,Ranchi,Local,2025-12-28,3000.0,3000.0,3000.0
Tamil Nadu,Sivaganga,Devakottai (Uzhavar Sandhai ) APMC,Cauliflower,Ranchi,Local,2025-12-28,3600.0,4200.0,3900.0
Tamil Nadu,Thirupur,Kangayam(Uzhavar Sandhai ) APMC,Cauliflower,Ranchi,Local,2025-12-28,2500.0,3000.0,2750.0
Tamil Nadu,Nagapattinam,Mayiladuthurai(Uzhavar Sandhai ) APMC,Brinjal,Round,Local,2025-12-28,4500.0,5000.0,4750.0
Tamil Nadu,Madurai,Chokkikulam(Uzhavar Sandhai ) APMC,Brinjal,Round,Local,2025-12-28,3600.0,4000.0,3800.0
Tamil Nadu,Madurai,Melur(Uzhavar Sandhai ) APMC,Brinjal,Round,Local,2025-12-28,3600.0,4000.0,3800.0
Tamil Nadu,The Nilgiris,Udhagamandalam(Uzhavar Sandhai ) APMC,Brinjal,Round,Local,2025-12-28,3500.0,4200.0,3850.0
Tamil Nadu,Theni,Bodinayakanur(Uzhavar Sandhai ) APMC,Brinjal,Round,Local,2025-12-28,2200.0,2500.0,2350.0
Tamil Nadu,Cuddalore,Viruthachalam(Uzhavar Sandhai ) APMC,Brinjal,Round,Local,2025-12-28,4000.0,5000.0,4500.0
Tamil Nadu,Virudhunagar,Virudhunagar(Uzhavar Sandhai ) APMC,Brinjal,Round,Local,2025-12-28,5300.0,5400.0,5350.0
Tamil Nadu,Erode,Gobichettipalayam(Uzhavar Sandhai ) APMC,Brinjal,Round,Local,2025-12-28,5600.0,6000.0,5800.0
Tamil Nadu,Virudhunagar,Thalavaipuram(Uzhavar Sandhai ) APMC,Brinjal,Round,Local,2025-12-28,5000.0,6000.0,5500.0
Tamil Nadu,Thanjavur,Thanjavur(Uzhavar Sandhai ) APMC,Brinjal,Round,Local,2025-12-28,5400.0,5400.0,5400.0
Tamil Nadu,Virudhunagar,Sivakasi(Uzhavar Sandhai ) APMC,Brinjal,Round,Local,2025-12-28,2500.0,3000.0,2750.0
Tamil Nadu,Thiruvannamalai,Arani(Uzhavar Sandhai ) APMC,Brinjal,Round,Local,2025-12-28,4200.0,5000.0,4600.0
Tamil Nadu,Dharmapuri,Dharmapuri(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,2025-12-28,3700.0,4000.0,3850.0
Tamil Nadu,Villupuram,Tindivanam APMC,Coriander(Leaves),I Sort,Local,2025-12-28,4000.0,4000.0,4000.0
Tamil Nadu,Pudukkottai,Gandarvakottai(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,2025-12-28,4600.0,5000.0,4800.0
Tamil Nadu,Thanjavur,Thanjavur(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,2025-12-28,3000.0,3000.0,3000.0
Tamil Nadu,Theni,Theni(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,2025-12-28,2600.0,2600.0,2600.0
Tamil Nadu,Namakkal,Namakkal(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,2025-12-28,4900.0,5500.0,5200.0
Tamil Nadu,Sivaganga,Devakottai (Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,2025-12-28,3400.0,4000.0,3700.0
Tamil Nadu,Erode,Gobichettipalayam(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,2025-12-28,5500.0,5800.0,5650.0
Tamil Nadu,Ranipet,Ranipettai(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,2025-12-28,2000.0,2000.0,2000.0
Tamil Nadu,Karur,Velayuthampalayam(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,2025-12-28,3800.0,4500.0,4150.0
Tamil Nadu,Sivaganga,Karaikudi(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,2025-12-28,4000.0,4000.0,4000.0
Tamil Nadu,Villupuram,Ulundurpettai APMC,Coriander(Leaves),I Sort,Local,2025-12-28,6000.0,6000.0,6000.0
Tamil Nadu,Dharmapuri,Pennagaram(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,2025-12-28,2300.0,2500.0,2400.0
Tamil Nadu,Coimbatore,Vadavalli(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,2025-12-28,2500.0,3000.0,2750.0
Tamil Nadu,Salem,Ammapet(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,2025-12-28,2200.0,2400.0,2300.0
Tamil Nadu,Madurai,Melur(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,2025-12-28,3000.0,3600.0,3300.0
Tamil Nadu,Tuticorin,Kovilpatti(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,2025-12-28,3500.0,4000.0,3750.0
Tamil Nadu,Krishnagiri,Krishnagiri(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,2025-12-28,1400.0,1600.0,1500.0
Tamil Nadu,Virudhunagar,Sathur(Uzhavar Sandhai ) APMC,Coriander(Leaves),I Sort,Local,2025-12-28,4500.0,5000.0,4750.0
Tamil Nadu,Thiruvannamalai,Polur(Uzhavar Sandhai ) APMC,Arhar(Tur/Red Gram)(Whole),Arhar (Whole),Local,2025-12-28,6000.0,8000.0,7000.0
Tamil Nadu,Dharmapuri,AJattihalli(Uzhavar Sandhai ) APMC,Arhar(Tur/Red Gram)(Whole),Arhar (Whole),Local,2025-12-28,4500.0,5000.0,4750.0
Tamil Nadu,Madurai,Palanganatham(Uzhavar Sandhai ) APMC,Green Peas,Green Peas,Local,2025-12-28,5000.0,5500.0,5250.0
Tamil Nadu,Theni,Theni(Uzhavar Sandhai ) APMC,Green Peas,Green Peas,Local,2025-12-28,4800.0,4800.0,4800.0
Tamil Nadu,Coimbatore,Vadavalli(Uzhavar Sandhai ) APMC,Green Peas,Green Peas,Local,2025-12-28,6000.0,6500.0,6250.0
Tamil Nadu,Villupuram,Tindivanam APMC,Green Peas,Green Peas,Local,2025-12-28,5800.0,5800.0,5800.0
Tamil Nadu,Cuddalore,Cuddalore(Uzhavar Sandhai ) APMC,Chikoos(Sapota),Sapota,Local,2025-12-28,4000.0,5000.0,4500.0
Tamil Nadu,Thiruvannamalai,Tamarainagar(Uzhavar Sandhai ) APMC,Chikoos(Sapota),Sapota,Local,2025-12-28,4500.0,5000.0,4750.0
Tamil Nadu,Krishnagiri,Krishnagiri(Uzhavar Sandhai ) APMC,Chikoos(Sapota),Sapota,Local,2025-12-28,2000.0,2500.0,2250.0
Tamil Nadu,Coimbatore,Mettupalayam(Uzhavar Sandhai ) APMC,Chikoos(Sapota),Sapota,Local,2025-12-28,3600.0,4000.0,3800.0
Tamil Nadu,Salem,Elampillai(Uzhavar Sandhai ) APMC,Chikoos(Sapota),Sapota,Local,2025-12-28,3500.0,4000.0,3750.0
Tamil Nadu,Thirupathur,Natrampalli(Uzhavar Sandhai ) APMC,Chikoos(Sapota),Sapota,Local,2025-12-28,3000.0,4000.0,3500.0
Tamil Nadu,Thiruchirappalli,Lalgudi(Uzhavar Sandhai ) APMC,Papaya,Papaya,Local,2025-12-28,3600.0,3600.0,3600.0
Tamil Nadu,Madurai,Chokkikulam(Uzhavar Sandhai ) APMC,Papaya,Papaya,Local,2025-12-28,3600.0,4000.0,3800.0
Tamil Nadu,Pudukkottai,Alangudi(Uzhavar Sandhai ) APMC,Papaya,Papaya,Local,2025-12-28,2500.0,3000.0,2750.0
Tamil Nadu,Erode,Thalavadi(Uzhavar Sandhai ) APMC,Papaya,Papaya,Local,2025-12-28,1800.0,2200.0,2000.0
Tamil Nadu,Pudukkottai,Aranthangi(Uzhavar Sandhai ) APMC,Papaya,Papaya,Local,2025-12-28,3000.0,3500.0,3250.0
Tamil Nadu,Thiruvannamalai,Tamarainagar(Uzhavar Sandhai ) APMC,Papaya,Papaya,Local,2025-12-28,3500.0,4000.0,3750.0
Tamil Nadu,Pudukkottai,Gandarvakottai(Uzhavar Sandhai ) APMC,Papaya,Papaya,Local,2025-12-28,2000.0,2500.0,2250.0
Tamil Nadu,Karur,Kulithalai(Uzhavar Sandhai ) APMC,Papaya,Papaya,Local,2025-12-28,2500.0,3000.0,2750.0
Tamil Nadu,Erode,Sathiyamagalam(Uzhavar Sandhai ) APMC,Papaya,Papaya,Local,2025-12-28,2000.0,2300.0,2150.0
Tamil Nadu,Theni,Periyakulam(Uzhavar Sandhai ) APMC,Papaya,Papaya,Local,2025-12-28,2500.0,3000.0,2750.0
Tamil Nadu,Sivaganga,Tirupatthur(Uzhavar Sandhai ) APMC,Papaya,Papaya,Local,2025-12-28,4000.0,4500.0,4250.0
Tamil Nadu,Ranipet,Ranipettai(Uzhavar Sandhai ) APMC,Papaya,Papaya,Local,2025-12-28,3000.0,4000.0,3500.0
Tamil Nadu,Nagercoil (Kannyiakumari),Myladi(Uzhavar Sandhai ) APMC,Papaya,Papaya,Local,2025-12-28,3800.0,4000.0,3900.0
Tamil Nadu,Thirupur,Palladam(Uzhavar Sandhai ) APMC,Papaya,Papaya,Local,2025-12-28,1500.0,2000.0,1750.0
Tamil Nadu,The Nilgiris,Udhagamandalam(Uzhavar Sandhai ) APMC,Papaya,Papaya,Local,2025-12-28,3500.0,4000.0,3750.0
Tamil Nadu,Cuddalore,Cuddalore(Uzhavar Sandhai ) APMC,Papaya,Papaya,Local,2025-12-28,4000.0,4000.0,4000.0
Tamil Nadu,Madurai,Palanganatham(Uzhavar Sandhai ) APMC,Papaya,Papaya,Local,2025-12-28,3000.0,4000.0,3500.0
Tamil Nadu,Dharmapuri,AJattihalli(Uzhavar Sandhai ) APMC,Papaya,Papaya,Local,2025-12-28,2800.0,3000.0,2900.0
Tamil Nadu,Salem,Ammapet(Uzhavar Sandhai ) APMC,Mousambi(Sweet Lime),Mousambi,Local,2025-12-28,3000.0,3500.0,3250.0
Tamil Nadu,Thiruvannamalai,Tiruvannamalai(Uzhavar Sandhai ) APMC,Mousambi(Sweet Lime),Mousambi,Local,2025-12-28,5000.0,6000.0,5500.0
Tamil Nadu,Thirunelveli,Palayamkottai(Uzhavar Sandhai ) APMC,Mousambi(Sweet Lime),Mousambi,Local,2025-12-28,6000.0,7000.0,6500.0
Tamil Nadu,Coimbatore,RSPuram(Uzhavar Sandhai ) APMC,Mousambi(Sweet Lime),Mousambi,Local,2025-12-28,5000.0,6000.0,5500.0
Tamil Nadu,Namakkal,Tiruchengode APMC,Tomato,Deshi,Local,2025-12-28,5000.0,6000.0,5500.0
Tamil Nadu,Thiruvannamalai,Chengam(Uzhavar Sandhai ) APMC,Tomato,Deshi,Local,2025-12-28,5000.0,6000.0,5500.0
Tamil Nadu,Chengalpattu,Madhuranthagam(Uzhavar Sandhai ) APMC,Tomato,Deshi,Local,2025-12-28,3000.0,3500.0,3250.0
Tamil Nadu,Virudhunagar,Virudhunagar(Uzhavar Sandhai ) APMC,Tomato,Deshi,Local,2025-12-28,5500.0,5800.0,5650.0
Tamil Nadu,Cuddalore,Cuddalore(Uzhavar Sandhai ) APMC,Tomato,Deshi,Local,2025-12-28,5200.0,5200.0,5200.0
Tamil Nadu,Salem,Attayampatti(Uzhavar Sandhai ) APMC,Tomato,Deshi,Local,2025-12-28,5000.0,5800.0,5400.0
Tamil Nadu,Coimbatore,Sulur(Uzhavar Sandhai ) APMC,Tomato,Deshi,Local,2025-12-28,5400.0,6000.0,5700.0
Tamil Nadu,Nagercoil (Kannyiakumari),Myladi(Uzhavar Sandhai ) APMC,Tomato,Deshi,Local,2025-12-28,6500.0,7000.0,6750.0
Tamil Nadu,Madurai,Thirumangalam(Uzhavar Sandhai ) APMC,Tomato,Deshi,Local,2025-12-28,6000.0,6500.0,6250.0
Tamil Nadu,Dharmapuri,Pennagaram(Uzhavar Sandhai ) APMC,Cluster beans,Cluster Beans,Local,2025-12-28,3800.0,4000.0,3900.0
Tamil Nadu,Theni,Chinnamanur(Uzhavar Sandhai ) APMC,Cluster beans,Cluster Beans,Local,2025-12-28,3400.0,3400.0,3400.0
Tamil Nadu,Thiruvannamalai,Polur(Uzhavar Sandhai ) APMC,Cluster beans,Cluster Beans,Local,2025-12-28,5000.0,6000.0,5500.0
Tamil Nadu,Namakkal,Namakkal(Uzhavar Sandhai ) APMC,Cluster beans,Cluster Beans,Local,2025-12-28,5400.0,6000.0,5700.0
Tamil Nadu,The Nilgiris,Gudalur(Uzhavar Sandhai ) APMC,Cluster beans,Cluster Beans,Local,2025-12-28,4700.0,5000.0,4850.0
Tamil Nadu,Dharmapuri,AJattihalli(Uzhavar Sandhai ) APMC,Cluster beans,Cluster Beans,Local,2025-12-28,5600.0,5800.0,5700.0
Tamil Nadu,Madurai,Melur(Uzhavar Sandhai ) APMC,Cluster beans,Cluster Beans,Local,2025-12-28,4000.0,4200.0,4100.0
Tamil Nadu,Thiruvarur,Tiruthuraipoondi(Uzhavar Sandhai ) APMC,Cluster beans,Cluster Beans,Local,2025-12-28,6000.0,6000.0,6000.0
Tamil Nadu,Thirunelveli,Palayamkottai(Uzhavar Sandhai ) APMC,Cluster beans,Cluster Beans,Local,2025-12-28,3400.0,3600.0,3500.0
Tamil Nadu,Coimbatore,RSPuram(Uzhavar Sandhai ) APMC,Cluster beans,Cluster Beans,Local,2025-12-28,4000.0,4800.0,4400.0
Tamil Nadu,Vellore,Katpadi (Uzhavar Sandhai ) APMC,Cluster beans,Cluster Beans,Local,2025-12-28,4500.0,4500.0,4500.0
Tamil Nadu,Vellore,Vellore APMC,Cluster beans,Cluster Beans,Local,2025-12-28,4500.0,4500.0,4500.0
Tamil Nadu,Thiruvannamalai,Vandavasi(Uzhavar Sandhai ) APMC,Cluster beans,Cluster Beans,Local,2025-12-28,5000.0,6000.0,5500.0
Tamil Nadu,Thiruchirappalli,Lalgudi(Uzhavar Sandhai ) APMC,Cluster beans,Cluster Beans,Local,2025-12-28,4600.0,4600.0,4600.0
Tamil Nadu,Kallakuruchi,Kallakurichi(Uzhavar Sandhai ) APMC,Cluster beans,Cluster Beans,Local,2025-12-28,4000.0,4000.0,4000.0
Tamil Nadu,Pudukkottai,Alangudi(Uzhavar Sandhai ) APMC,Cluster beans,Cluster Beans,Local,2025-12-28,4500.0,5000.0,4750.0
Tamil Nadu,Kallakuruchi,Sankarapuram(Uzhavar Sandhai ) APMC,Cluster beans,Cluster Beans,Local,2025-12-28,4000.0,4000.0,4000.0
Tamil Nadu,Nagapattinam,Nagapattinam(Uzhavar Sandhai ) APMC,Cluster beans,Cluster Beans,Local,2025-12-28,3500.0,4000.0,3750.0
Tamil Nadu,Theni,Devaram(Uzhavar Sandhai ) APMC,Cluster beans,Cluster Beans,Local,2025-12-28,3400.0,3400.0,3400.0
Tamil Nadu,Chengalpattu,Medavakkam(Uzhavar Sandhai ) APMC,Cluster beans,Cluster Beans,Local,2025-12-28,2000.0,2500.0,2250.0
Tamil Nadu,Theni,Bodinayakanur(Uzhavar Sandhai ) APMC,Cluster beans,Cluster Beans,Local,2025-12-28,2700.0,3000.0,2850.0
Tamil Nadu,Thiruchirappalli,Manapparai(Uzhavar Sandhai ) APMC,Cluster beans,Cluster Beans,Local,2025-12-28,4000.0,4000.0,4000.0
Tamil Nadu,Salem,Edapadi (Uzhavar Sandhai ) APMC,Cluster beans,Cluster Beans,Local,2025-12-28,4000.0,4500.0,4250.0
Tamil Nadu,Thiruvannamalai,Cheyyar(Uzhavar Sandhai ) APMC,Cluster beans,Cluster Beans,Local,2025-12-28,4800.0,6000.0,5400.0
Tamil Nadu,Villupuram,Ulundurpettai APMC,Cluster beans,Cluster Beans,Local,2025-12-28,5000.0,5000.0,5000.0
